hundred_block,street_name,block,n_permits,n_types,first_date,last_date,mean_gap,duration,duration_wk,duration_mn,permits_mn,permits_wk,street_address,lon,lat
5000,ARCH ST,5000 ARCH ST,12,1,2006-07-29T00:00:00Z,2015-07-25T00:00:00Z,298.454545454545,3283,469,109.433333333333,0.109655802619555,0.0255863539445629,"5000 ARCH ST, Philadelphia, PA",-75.2206237,39.9610902
5600,ARCH ST,5600 ARCH ST,5,2,2006-07-04T00:00:00Z,2015-08-15T00:00:00Z,832.25,3329,475.571428571429,110.966666666667,0.0450585761489937,0.0105136677680985,"5600 ARCH ST, Philadelphia, PA",-75.2329557,39.9625757
5700,ARCH ST,5700 ARCH ST,2,1,2014-06-28T00:00:00Z,2014-07-04T00:00:00Z,6,6,0.857142857142857,0.2,10,2.33333333333333,"5700 ARCH ST, Philadelphia, PA",-75.2345409,39.9628083
5900,ARCH ST,5900 ARCH ST,3,1,2011-08-26T00:00:00Z,2015-08-08T00:00:00Z,721.5,1443,206.142857142857,48.1,0.0623700623700624,0.0145530145530146,"5900 ARCH ST, Philadelphia, PA",-75.2385299,39.9631202
6100,ARCH ST,6100 ARCH ST,3,1,2010-06-26T00:00:00Z,2013-07-04T00:00:00Z,552,1104,157.714285714286,36.8,0.0815217391304348,0.0190217391304348,"6100 ARCH ST, Philadelphia, PA",-75.2424102,39.9637822
5500,ARDLEIGH ST,5500 ARDLEIGH ST,16,1,2007-08-04T00:00:00Z,2015-09-05T00:00:00Z,196.933333333333,2954,422,98.4666666666667,0.16249153689912,0.037914691943128,"5500 ARDLEIGH ST, Philadelphia, PA",-75.1581621,40.0480307
5600,ARDLEIGH ST,5600 ARDLEIGH ST,1,1,2011-06-25T00:00:00Z,2011-06-25T00:00:00Z,,0,0,0,Inf,Inf,"5600 ARDLEIGH ST, Philadelphia, PA",-75.1594457,40.0490006
5900,ARDLEIGH ST,5900 ARDLEIGH ST,3,1,2006-09-02T00:00:00Z,2007-09-02T00:00:00Z,182.5,365,52.1428571428572,12.1666666666667,0.246575342465753,0.0575342465753425,"5900 ARDLEIGH ST, Philadelphia, PA",-75.1633784,40.0514213
6000,ARDLEIGH ST,6000 ARDLEIGH ST,3,1,2006-09-02T00:00:00Z,2007-09-02T00:00:00Z,182.5,365,52.1428571428572,12.1666666666667,0.246575342465753,0.0575342465753425,"6000 ARDLEIGH ST, Philadelphia, PA",-75.1640179,40.0518154
6400,ARDLEIGH ST,6400 ARDLEIGH ST,2,1,2012-08-04T00:00:00Z,2013-08-10T00:00:00Z,371,371,53,12.3666666666667,0.161725067385445,0.0377358490566038,"6400 ARDLEIGH ST, Philadelphia, PA",-75.1721856,40.0561887
6900,ARDLEIGH ST,6900 ARDLEIGH ST,1,1,2010-09-18T00:00:00Z,2010-09-18T00:00:00Z,,0,0,0,Inf,Inf,"6900 ARDLEIGH ST, Philadelphia, PA",-75.18094,40.061837
8300,ARDLEIGH ST,8300 ARDLEIGH ST,1,1,2010-06-06T00:00:00Z,2010-06-06T00:00:00Z,,0,0,0,Inf,Inf,"8300 ARDLEIGH ST, Philadelphia, PA",-75.2025019,40.0751531
4500,ARENDELL AVE,4500 ARENDELL AVE,1,1,2012-06-09T00:00:00Z,2012-06-09T00:00:00Z,,0,0,0,Inf,Inf,"4500 ARENDELL AVE, Philadelphia, PA",-75.0005746,40.0535226
7800,ARGUS RD,7800 ARGUS RD,3,1,2009-09-05T00:00:00Z,2012-08-18T00:00:00Z,539,1078,154,35.9333333333333,0.0834879406307978,0.0194805194805195,"7800 ARGUS RD, Philadelphia, PA",-75.160926,40.0738874
6100,ARGYLE ST,6100 ARGYLE ST,1,1,2011-06-18T00:00:00Z,2011-06-18T00:00:00Z,,0,0,0,Inf,Inf,"6100 ARGYLE ST, Philadelphia, PA",-75.099489,40.0467834
1700,ARLINGTON ST,1700 ARLINGTON ST,7,1,2006-05-13T00:00:00Z,2014-05-18T00:00:00Z,487.833333333333,2927,418.142857142857,97.5666666666667,0.0717458148274684,0.0167406901264093,"1700 ARLINGTON ST, Philadelphia, PA",-75.1622335,39.9832508
2400,ARLINGTON ST,2400 ARLINGTON ST,4,1,2008-08-09T00:00:00Z,2016-05-08T00:00:00Z,943,2829,404.142857142857,94.3,0.0424178154825027,0.00989749027925062,"2400 ARLINGTON ST, Philadelphia, PA",-75.1738131,39.9849519
3200,ARLINGTON ST,3200 ARLINGTON ST,2,1,2007-08-18T00:00:00Z,2009-08-29T00:00:00Z,742,742,106,24.7333333333333,0.0808625336927224,0.0188679245283019,"3200 ARLINGTON ST, Philadelphia, PA",-75.1858382,39.9864246
5200,ARLINGTON ST,5200 ARLINGTON ST,8,1,2006-08-05T00:00:00Z,2015-08-01T00:00:00Z,469,3283,469,109.433333333333,0.0731038684130369,0.0170575692963753,"5200 ARLINGTON ST, Philadelphia, PA",-75.2271333,39.9873996
5300,ARLINGTON ST,5300 ARLINGTON ST,9,1,2008-08-30T00:00:00Z,2015-08-29T00:00:00Z,319.375,2555,365,85.1666666666667,0.105675146771037,0.0246575342465753,"5300 ARLINGTON ST, Philadelphia, PA",-75.2295492,39.9868891
5600,ARLINGTON ST,5600 ARLINGTON ST,2,1,2013-08-03T00:00:00Z,2013-08-31T00:00:00Z,28,28,4,0.933333333333333,2.14285714285714,0.5,"5600 ARLINGTON ST, Philadelphia, PA",-75.2349847,39.9858187
